GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Adams, IN",2010,1068048,975855,34443,18602,421960
"Allen, IN",2010,15057993,12343412,356044,219976,7277974
"Bartholomew, IN",2010,5111420,2911353,76773,50846,1934731
"Benton, IN",2010,315975,294374,8862,4005,85796
"Blackford, IN",2010,275427,391297,12779,4921,115675
"Boone, IN",2010,1886757,2945228,56961,30495,804946
"Brown, IN",2010,235524,526670,15219,5532,79562
"Carroll, IN",2010,566260,665635,20202,7676,167573
"Cass, IN",2010,1151822,1167660,38996,18975,500917
"Clark, IN",2010,4118624,3794931,110619,60489,1777844
"Clay, IN",2010,606211,809555,26868,10036,214718
"Clinton, IN",2010,1100083,995286,33246,14646,403515
"Crawford, IN",2010,168483,282060,10709,3534,56745
"Daviess, IN",2010,944018,1007168,31719,16005,356562
"DeKalb, IN",2010,1864504,1342546,42327,24008,761562
"Dearborn, IN",2010,1431620,1788347,50105,20468,563733
"Decatur, IN",2010,1047003,862144,25792,14556,435033
"Delaware, IN",2010,3599113,3311711,117628,57769,1619286
"Dubois, IN",2010,2044706,1688342,41931,32599,987259
"Elkhart, IN",2010,9363759,6038797,197472,126838,4113921
"Fayette, IN",2010,536967,725602,24336,8995,214521
"Floyd, IN",2010,2306358,2896943,74741,38408,1106584
"Fountain, IN",2010,493974,545656,17279,7364,169510
"Franklin, IN",2010,395016,857368,23058,7249,125484
"Fulton, IN",2010,556757,658181,20828,9564,226072
"Gibson, IN",2010,2521694,1133131,33526,20489,774373
"Grant, IN",2010,2336940,2137530,69939,34283,1032825
"Greene, IN",2010,561263,1033811,33170,11310,225420
"Hamilton, IN",2010,12075885,15120687,276593,155751,5298915
"Hancock, IN",2010,1741230,2740462,70260,29031,767813
"Harrison, IN",2010,871833,1312814,39304,16755,368295
"Hendricks, IN",2010,3904295,5577261,146002,67997,1867265
"Henry, IN",2010,1011908,1433038,49552,17128,406563
"Howard, IN",2010,4062908,2582551,82775,44467,1554953
"Huntington, IN",2010,1152059,1186660,37121,18557,476224
"Jackson, IN",2010,1732781,1469360,42634,23463,689865
"Jasper, IN",2010,1310564,1130506,33485,15390,391837
"Jay, IN",2010,702355,631869,21180,10901,251019
"Jefferson, IN",2010,1287134,1067260,32423,15914,439511
"Jennings, IN",2010,605890,811960,28483,10271,268346
"Johnson, IN",2010,3359977,5268069,140304,59146,1453898
"Knox, IN",2010,1452090,1327069,38388,21706,620702
"Kosciusko, IN",2010,5081282,2678115,77364,44470,1517669
"LaPorte, IN",2010,3671752,3572824,111523,53241,1563632
"Lagrange, IN",2010,990086,971384,37169,17501,369081
"Lake, IN",2010,18986568,16990627,496251,236304,8308264
"Lawrence, IN",2010,1151809,1422558,46094,18072,441356
"Madison, IN",2010,3126205,3808271,131632,52687,1391256
"Marion, IN",2010,79249748,37794683,904858,681334,28551734
"Marshall, IN",2010,1408323,1482377,46999,23191,595295
"Martin, IN",2010,828030,338258,10354,8775,463119
"Miami, IN",2010,749987,948868,36826,12979,329040
"Monroe, IN",2010,5034940,4300980,138372,85340,2373594
"Montgomery, IN",2010,1503539,1275574,38086,19552,575005
"Morgan, IN",2010,1371731,2409026,69165,21874,500034
"Newton, IN",2010,308598,441279,14231,5307,128643
"Noble, IN",2010,1454351,1361919,47445,21750,589284
"Ohio, IN",2010,256902,311793,6086,2176,50863
"Orange, IN",2010,501044,571289,19817,10082,245000
"Owen, IN",2010,466274,647122,21578,7666,178051
"Parke, IN",2010,280197,481299,17261,5397,95596
"Perry, IN",2010,669380,552382,19411,8205,230333
"Pike, IN",2010,863110,399606,12712,4486,145959
"Porter, IN",2010,5425033,6439967,164548,73883,2310384
"Posey, IN",2010,2009782,990007,25858,11772,438975
"Pulaski, IN",2010,427492,445658,13323,6303,157575
"Putnam, IN",2010,855440,1073020,37884,16223,381617
"Randolph, IN",2010,681483,777485,26177,10125,233620
"Ripley, IN",2010,1162745,970628,28828,17121,555179
"Rush, IN",2010,463414,565170,17385,7016,160044
"Scott, IN",2010,544763,673943,24185,8822,210393
"Shelby, IN",2010,1511297,1479176,44300,21301,611953
"Spencer, IN",2010,1217792,709449,20906,9635,247193
"St. Joseph, IN",2010,10692225,9309833,266828,149665,4830150
"Starke, IN",2010,404057,642569,23356,6779,131921
"Steuben, IN",2010,1073393,1064948,34102,18638,437184
"Sullivan, IN",2010,857434,611182,21393,8303,223055
"Switzerland, IN",2010,209675,259470,10693,3553,79670
"Tippecanoe, IN",2010,6792902,5314254,172891,97741,3217975
"Tipton, IN",2010,354747,518846,15881,6130,148436
"Union, IN",2010,136920,217384,7536,2574,45450
"Vanderburgh, IN",2010,9244538,6921457,179793,126980,4436185
"Vermillion, IN",2010,799656,514960,16119,5934,210126
"Vigo, IN",2010,4243934,3401481,107878,61845,1916500
"Wabash, IN",2010,929645,1037877,32854,16005,381301
"Warren, IN",2010,208883,296002,8526,2861,65946
"Warrick, IN",2010,2022816,2479948,59857,22028,609908
"Washington, IN",2010,429120,793094,28297,9154,179142
"Wayne, IN",2010,2315767,2130098,68915,36665,1025392
"Wells, IN",2010,903182,904568,27681,14178,370177
"White, IN",2010,764162,818861,24697,11942,284380
"Whitley, IN",2010,988768,1113840,33351,15612,404535
"Adams, IN",2011,1152049,1078250,34371,18826,427067
"Allen, IN",2011,15417122,13205908,359463,224936,7596257
"Bartholomew, IN",2011,5246471,3168991,77385,54102,2158470
"Benton, IN",2011,368947,344887,8856,3888,86171
"Blackford, IN",2011,273212,401000,12697,4799,116054
